venue,city,pitch_type,avg_first_inn,dew_factor,home_favor,home_team,pitch_bias,matches_2026,notes
"Wankhede Stadium, Mumbai",Mumbai,Batting paradise,185,High,Strong,MI,"MI (+5%), RCB (+8%), SRH (+4%), PBKS (+3%)",8,"Short boundaries, damp evenings. Dew heavily favours the chasing side."
"MA Chidambaram Stadium, Chennai",Chennai,Spin-friendly,168,Medium,Very Strong,CSK,"CSK (+7%), GT (+4%), RR (+3%), DC (+2%)",7,"Slow, dry surface. Spinners dominate. Massive home crowd effect for CSK."
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Batting paradise,192,Low,Moderate,RCB,"RCB (+8%), MI (+5%), SRH (+3%)",11,Smallest ground in IPL. Batters feast — 200+ totals are common.
"Eden Gardens, Kolkata",Kolkata,Balanced,174,Medium,Strong,KKR,KKR (+4%),8,Good pace and bounce. Evening dew sets in. Balanced contest.
"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Hyderabad,Batting-friendly,178,High,Strong,SRH,"SRH (+4%), MI (+3%), RCB (+5%)",7,High scores expected. Significant dew favours chasers in night matches.
"Arun Jaitley Stadium, Delhi",Delhi,Balanced,172,Low,Moderate,DC,DC (+3%),7,Good carry for pacers. Dusty pitch aids spinners later.
"HPCA Stadium, Dharamsala",Dharamsala,Pace-friendly,165,None,Moderate,-,"KKR (+3%), DC (+2%), GT (+2%)",3,"Hilly conditions, swing and seam. Bowler-friendly with cool mountain air."
"PCA Stadium, Mohali",Mohali,Batting-friendly,179,Low,Moderate,-,"PBKS (+4%), MI (+3%)",0,Good batting surface. Quick outfield. Great for stroke-makers.
"Sawai Mansingh Stadium, Jaipur",Jaipur,Batting-friendly,176,Low,Moderate,RR,"RR (+4%), RCB (+3%)",5,Compact ground. Spinners effective in afternoon games.
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Spin-friendly,170,Medium,Strong,GT,"GT (+6%), CSK (+4%), RR (+3%)",7,World largest stadium. Dry surface suits spinners. Massive home noise.
"Barsapara Cricket Stadium, Guwahati",Guwahati,Batting-friendly,172,Medium,Moderate,-,RR (+3%),2,"Compact ground in the northeast. Lively atmosphere, good batting conditions."
"PCA Stadium, New Chandigarh",New Chandigarh,Batting-friendly,178,Low,Moderate,PBKS,"PBKS (+4%), MI (+3%)",3,Modern stadium. Good batting surface with quick outfield.
"BRSABV Ekana Cricket Stadium, Lucknow",Lucknow,Balanced,173,Medium,Moderate,LSG,LSG (+4%),6,Good pace early. Dew significant in evening matches.
